Designator,Mid X,Mid Y,Rotation,Layer
CL1,99.26,-161.115,0,bottom
CL2,99.23,-157.495,180,bottom
CL3,99.3,-139.685,180,bottom
CL5,99.26,-112.135,180,bottom
CL6,99.23,-115.835,180,bottom
CL7,99.26,-132.405,180,bottom
CL8,99.31,-135.995,180,bottom
CLD1,202.409004,-116.379996,180,bottom
CR1,313.941887,-169.727889,180,bottom
CR2,313.951887,-166.047889,0,bottom
CR3,313.871887,-203.007889,180,bottom
CR5,313.811887,-131.647889,0,bottom
CR6,313.831887,-127.917889,0,bottom
CR7,313.801887,-124.087889,0,bottom
CR8,313.771887,-104.917889,0,bottom
CRD1,210.709004,-201.304996,180,bottom
DL00_1,177.34,-70.435,180,bottom
DL00_2,177.36,-103.765,180,bottom
DL00_3,177.39,-122.795,180,bottom
DL00_4,177.36,-141.855,180,bottom
DL00_5,177.37,-160.905,180,bottom
DL00_6,177.38,-179.955,180,bottom
DL00_7,177.37,-199.015,180,bottom
DL00_8,177.36,-218.065,180,bottom
DL00_9,158.3,-70.425,180,bottom
DL00_10,158.32,-108.525,180,bottom
DL00_11,158.32,-132.325,180,bottom
DL00_12,158.33,-151.385,180,bottom
DL00_13,158.31,-170.435,180,bottom
DL00_14,158.31,-189.485,180,bottom
DL00_15,158.3,-208.525,180,bottom
DL00_17,139.27,-70.415,180,bottom
DL00_18,139.26,-110.895,180,bottom
DL00_19,139.24,-137.095,180,bottom
DL00_20,139.27,-156.145,180,bottom
DL00_21,139.27,-175.195,180,bottom
DL00_22,139.26,-194.265,180,bottom
DL00_23,139.25,-213.295,180,bottom
DL00_25,120.2,-70.425,180,bottom
DL00_26,120.21,-115.665,180,bottom
DL00_28,120.2,-146.625,180,bottom
DL00_29,120.21,-165.715,180,bottom
DL00_30,120.22,-184.715,180,bottom
DL00_31,120.21,-203.775,180,bottom
DL00_32,120.22,-222.815,180,bottom
DL00_33,101.16,-70.425,180,bottom
DL00_34,101.17,-106.145,180,bottom
DL00_35,101.17,-129.965,180,bottom
DL00_36,101.17,-153.765,180,bottom
DL00_38,101.17,-187.105,180,bottom
DL00_40,101.17,-220.445,180,bottom
DR00_1,235.801887,-211.197889,0,bottom
DR00_2,235.811887,-192.147889,0,bottom
DR00_3,235.801887,-173.087889,0,bottom
DR00_4,235.781887,-154.037889,0,bottom
DR00_5,235.791887,-134.987889,0,bottom
DR00_6,235.811887,-115.957889,0,bottom
DR00_7,235.811887,-96.897889,0,bottom
DR00_8,235.801887,-68.317889,0,bottom
DR00_9,254.851887,-201.667889,0,bottom
DR00_10,254.851887,-182.617889,0,bottom
DR00_11,254.851887,-163.567889,0,bottom
DR00_12,254.851887,-144.517889,0,bottom
DR00_13,254.851887,-125.467889,0,bottom
DR00_14,254.851887,-106.417889,0,bottom
DR00_15,254.861887,-87.367889,0,bottom
DR00_16,254.861887,-63.567889,0,bottom
DR00_17,273.891887,-196.897889,0,bottom
DR00_18,273.901887,-177.847889,0,bottom
DR00_19,273.901887,-158.807889,0,bottom
DR00_20,273.901887,-139.757889,0,bottom
DR00_21,273.891887,-120.697889,0,bottom
DR00_22,273.901887,-101.647889,0,bottom
DR00_24,273.891887,-70.697889,0,bottom
DR00_25,292.951887,-206.427889,0,bottom
DR00_26,292.961887,-187.377889,0,bottom
DR00_27,292.951887,-168.327889,0,bottom
DR00_28,292.951887,-149.277889,0,bottom
DR00_29,292.941887,-130.227889,0,bottom
DR00_30,292.951887,-111.167889,0,bottom
DR00_31,292.951887,-84.987889,0,bottom
DR00_32,292.941887,-58.787889,0,bottom
DR00_34,311.991887,-189.757889,0,bottom
DR00_36,312.001887,-142.127889,0,bottom
DR00_38,312.001887,-108.787889,0,bottom
DR00_39,312.011887,-84.987889,0,bottom
DR00_40,311.991887,-61.167889,0,bottom
ESDDLD1,203.609004,-96.099996,180,bottom
ESDDRD1,209.589004,-185.984996,0,bottom
FLD1,210.579004,-116.379996,0,bottom
FRD1,202.679004,-201.334996,0,bottom
RESETL_SW1,105.85,-193.445,-90,bottom
RESETR_SW1,307.341887,-208.735389,90,bottom
RL2,147.61,-223.325,0,bottom
RL3,147.59,-219.665,0,bottom
RL4,99.36,-173.645,180,bottom
RL5,99.42,-197.475,0,bottom
RLD1,210.619004,-89.179996,180,bottom
RLD2,210.659004,-85.449996,180,bottom
RLD3,210.659004,-81.749996,180,bottom
RR2,265.591887,-218.647889,180,bottom
RR3,265.591887,-222.377889,180,bottom
RR4,313.981887,-179.167889,180,bottom
RR5,313.851887,-211.727889,180,bottom
RRD1,202.599004,-166.474996,0,bottom
RRD2,202.549004,-170.134996,0,bottom
RRD3,202.569004,-173.734996,0,bottom
UL1,106.84,-162.985,0,bottom
ULD1,203.764004,-101.649996,-90,bottom
UR1,306.441887,-176.037889,-180,bottom
URD1,209.414004,-180.424996,90,bottom
USBLD1,203.529004,-86.609996,90,bottom
USBRD1,209.669004,-171.644996,-90,bottom
YL1,98.767,-164.762,90,bottom
YR1,314.361887,-174.557889,-90,bottom
